date,1. open,2. high,3. low,4. close,5. volume
2016-12-30,166.9800,167.9800,165.5000,165.9900,7770697
2016-12-23,166.8300,168.2500,165.2500,166.7100,13209502
2016-12-16,166.7200,169.9520,165.0700,166.7300,23953742
2016-12-09,160.8500,166.7200,158.9300,166.5200,17154330
2016-12-02,163.2000,164.6600,158.3000,160.0200,19370850
2016-11-25,160.6900,163.1900,160.3697,163.1400,11269212
2016-11-18,161.2500,161.8600,157.5500,160.3900,16168917
2016-11-11,153.9900,161.3400,151.0000,161.2700,25292112
2016-11-04,152.7600,154.3300,151.6700,152.4300,15168515
2016-10-28,150.4000,154.4400,149.8300,152.6100,16009359
2016-10-21,154.4500,155.8900,147.7900,149.6300,31731091
2016-10-14,156.7100,158.4900,152.2700,154.4500,15614452
2016-10-07,158.0600,158.5300,154.8600,155.6700,11417766
2016-09-30,154.4600,165.0000,153.4600,158.8500,15801644
2016-09-23,154.8700,157.2200,153.8700,154.9800,12476162
2016-09-16,155.2600,158.5300,153.2100,153.8400,21990587
2016-09-09,159.8800,161.7600,155.6500,155.6900,15009419
2016-09-02,158.8300,160.5700,158.1000,159.5500,11286596
2016-08-26,160.0000,161.3400,157.8500,158.3200,13571765
2016-08-19,162.4000,162.9700,159.5200,160.0400,14873739
2016-08-12,162.7300,164.9500,161.5200,161.9500,19554950
2016-08-05,160.6500,163.5100,159.8000,163.5000,15067283
2016-07-29,162.0000,163.6000,160.0300,160.6200,13747991
2016-07-22,159.3000,162.1700,157.8900,162.0700,24775973
2016-07-15,154.6000,161.4000,154.5000,159.7800,18535456
2016-07-08,151.1900,154.6000,149.9200,154.4600,10213227
2016-07-01,146.1800,152.9700,142.5000,152.3500,19155814
2016-06-24,152.6000,155.4800,146.1800,146.5900,22214411
2016-06-17,151.6300,152.7200,149.0000,151.9900,15849580
2016-06-10,153.0900,154.0900,151.8600,152.3700,14920842
2016-06-03,152.5600,153.8100,151.5400,152.8900,13470239
2016-05-27,147.6100,152.9300,146.6600,152.8400,14910875
2016-05-20,147.6500,149.9900,143.9550,147.2500,16406443
2016-05-13,147.7000,151.0900,147.0100,147.7200,17034303
2016-05-06,146.5600,147.9700,142.9000,147.2900,21059912
2016-04-29,148.1600,150.7800,144.1910,145.9400,16956550
2016-04-22,151.7500,153.1400,142.6100,148.5000,37688644
2016-04-15,150.2600,152.7600,148.5800,151.7200,17443203
2016-04-08,152.3400,153.5200,147.8100,149.3500,18417556
2016-04-01,147.7500,153.1000,147.2300,152.5200,20439783
2016-03-24,147.3000,149.2800,144.4900,147.9500,17611709
2016-03-18,142.0100,147.5100,141.0400,147.0900,29886417
2016-03-11,137.2800,142.9236,136.8718,142.3600,23556160
2016-03-04,132.0000,139.4200,130.9000,137.8000,22557187
2016-02-26,133.8400,134.9200,129.6800,132.0300,20763400
2016-02-19,121.8300,134.0000,121.3400,133.0800,23958762
2016-02-12,126.0000,127.5100,116.9010,121.0400,32025579
2016-02-05,124.4000,128.6400,122.2900,128.5700,25527891
2016-01-29,122.1000,124.7900,120.6500,124.7900,27278749
2016-01-22,130.1100,132.1000,118.0000,122.5000,44203492
2016-01-15,131.8100,134.2799,128.8700,130.0300,29470082
2016-01-08,135.6000,136.8900,131.3200,131.6300,25251873
